id,owner,created,Utility,nParams,downloads,totalDownloads
timm/efficientvit_l3.r384_in1k,timm,2023-11-21,0.86398,246040000.0,408,3564
timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k,timm,2023-03-31,0.86386,88590000.0,10531,89527
timm/hgnetv2_b6.ssld_stage2_ft_in1k,timm,2024-02-12,0.86384,75260000.0,179,3414
timm/convformer_s36.sail_in22k_ft_in1k_384,timm,2023-05-05,0.8637999999999999,40010000.0,70,4112
timm/dm_nfnet_f6.dm_in1k,timm,2023-03-24,0.86372,438360000.0,1207,10842
timm/nextvit_base.bd_ssld_6m_in1k_384,timm,2024-02-11,0.8636400000000001,44820000.0,487,6299
timm/swin_large_patch4_window7_224.ms_in22k_ft_in1k,timm,2023-03-18,0.8633,196530000.0,6260,135898
timm/convnext_base.fb_in22k_ft_in1k,timm,2022-12-13,0.86298,88590000.0,61572,1599509
timm/hgnetv2_b6.ssld_stage1_in22k_in1k,timm,2024-02-12,0.86298,75260000.0,349,2697
timm/maxvit_base_tf_384.in1k,timm,2022-12-02,0.8629399999999999,119650000.0,276,29432
timm/swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,timm,2023-03-18,0.86276,87920000.0,3494,121643
timm/convnextv2_huge.fcmae_ft_in1k,timm,2023-01-05,0.8626,660290000.0,470,31999
timm/maxvit_large_tf_384.in1k,timm,2022-12-02,0.86236,212030000.0,282,9795
timm/efficientvit_l3.r320_in1k,timm,2023-11-21,0.8623000000000001,246040000.0,137,2157
timm/vit_base_patch8_224.augreg2_in21k_ft_in1k,timm,2022-12-22,0.8622799999999999,86580000.0,182458,1477533
timm/vit_base_patch16_clip_384.openai_ft_in1k,timm,2022-11-09,0.8621800000000001,86860000.0,283,10915
timm/vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,timm,2022-11-28,0.8621,86570000.0,12916,131668
timm/vit_mediumd_patch16_reg4_gap_256.sbb_in12k_ft_in1k,timm,2024-05-11,0.86208,64110000.0,1167,8400
timm/hgnetv2_b6.ssld_stage2_ft_in1k,timm,2024-02-12,0.86206,75260000.0,179,3414
timm/convnext_small.in12k_ft_in1k_384,timm,2023-01-18,0.8618600000000001,50220000.0,819,129112
timm/vit_large_r50_s32_384.augreg_in21k_ft_in1k,timm,2022-12-23,0.8618399999999999,329090000.0,300,13398
timm/convnext_base.clip_laion2b_augreg_ft_in1k,timm,2023-02-03,0.8618399999999999,88590000.0,980,19499
timm/caformer_m36.sail_in1k_384,timm,2023-05-05,0.8615999999999999,56200000.0,110,4179
timm/dm_nfnet_f6.dm_in1k,timm,2023-03-24,0.86154,438360000.0,1207,10842
timm/convformer_m36.sail_in22k_ft_in1k,timm,2023-05-05,0.8615200000000001,57050000.0,635,4576
timm/convnextv2_large.fcmae_ft_in1k,timm,2023-01-05,0.86126,197960000.0,2606,27410
timm/maxvit_small_tf_512.in1k,timm,2022-12-02,0.86104,69130000.0,1213,35003
timm/tf_efficientnet_b5.ns_jft_in1k,timm,2022-12-13,0.86102,30390000.0,3721,149751
